Unique Identifier,Meeting,Meeting Date,CMA,Policy Order,Application,Sponsor,Co-Sponsors,Amended,Outcome,Sumbul Siddiqui,Alanna Mallon,Dennis J. Carlone,Marc C. McGovern,Patricia Nolan,E. Denise Simmons,Jivan Sobrinho-Wheeler,Timothy J. Toomey,Quinton Zondervan,Yeas,Nays,Present,Absent,Link,Summary,Notes
POR 2021 #231,2021-10-25 Regular,10/25/21,,POR 2021 #231,,Patricia Nolan,"Marc C. McGovern,Dennis J. Carlone,Quinton Zondervan",yes,Ordained,yes,yes,absent,yes,yes,yes,yes,yes,yes,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=3962&MediaPosition=&ID=14898&CssClass=,Ordinance #2021-24 That the City Manager be and hereby is requested to direct the City Solicitor and the appropriate staff to review the language of this proposed ordinance amendment and to report back to the City Council in advance of the next City Council meeting.,"PASSED TO A SECOND READING IN COUNCIL OCTOBER 25, 2021 TO BE ORDAINED ON OR AFTER NOVEMBER 8, 2021"
CMA 2020 #178,2020-07-27 Special,7/27/20,CMA 2020 #178,,,,,,Ordained,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2656&MediaPosition=&ID=12373&CssClass=,"That the Cambridge City Council amend the Municipal Ordinances of the City of Cambridge to insert a new Chapter 8.71, entitled Tenants’ Rights and Resources Notification.  PASSED TO A SECOND READING IN COUNCIL JULY 27, 2020. TO BE ORDAINED ON OR AFTER SEPTEMBER 14, 2020",
CMA 2020 #234,2020-10-19 Regular,10/19/20,CMA 2020 #234,POR 2020 #222,,,,,Ordained,yes,no,yes,yes,yes,yes,yes,yes,yes,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2689&MediaPosition=&ID=12764&CssClass=,"A communication transmitted from Louis A. DePasquale, City Manager, relative to a response to Policy Order O-13 of October 5, 2020, regarding a draft Truck Safety Ordinance.","PASSED TO A SECOND READING IN COUNCIL OCTOBER 19, 2020"
CMA 2021 #3,2021-01-04 Regular,1/4/21,CMA 2021 #3,,,,,,Ordained,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2779&MediaPosition=&ID=13272&CssClass=,"A communication transmitted from Louis A. DePasquale, City Manager, relative to a Zoning Petition which amends Article 8.000 of the Cambridge Zoning Ordinance.",to Ordinance Committee and Planning Board for hearing and report.
CMA 2021 #31,2021-02-22 Regular,2/22/21,CMA 2021 #31,,,,,,Ordained,yes,yes,yes,yes,yes,no,yes,no,yes,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2794&MediaPosition=&ID=13507&CssClass=,"A communication transmitted from Louis A. DePasquale, City Manager, relative to a proposed amendment to Section 8.66 of the Municipal Ordinance relating to Tree Protection and related Order.",
CMA 2021 #50,2021-03-22 Regular,3/22/21,CMA 2021 #50,,,,,,Ordained,yes,yes,yes,yes,yes,absent,yes,no,yes,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2798&MediaPosition=&ID=13700&CssClass=,"A communication transmitted from Louis A. DePasquale, City Manager, relative to proposed amendments to the Tree Protection Ordinance.  AS AMENDED ON JUNE 14, 2021",to Ordinance committee by Zondervan
APP 2019 #82,2020-02-24 Regular,2/24/20,,,APP 2019 #82,,,,Ordained,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2590&MediaPosition=&ID=10659&CssClass=,"A refilling Zoning Petition Has been received from Joseph T. Maguire of Alexandria Real Estate Equities, Inc. transmitting a proposed revised amendment to the zoning ordinance by creating the Grand Junction Pathway Overlay District.",
APP 2019 #80,2020-02-24 Regular,2/24/20,,,APP 2019 #80,,,,Ordained,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2590&MediaPosition=&ID=10510&CssClass=,regarding Harvard Square Zoning Petition.,petition amend to include the language in communication 3
APP 2020 #18,2020-03-16 Regular,3/16/20,,,APP 2020 #18,,,,Expired,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2593&MediaPosition=&ID=11541&CssClass=,requesting that the City Council Ordain the Zoning language set forth relative to the Alewife Quadrangle Northwest Overlay District.,ORDINANCE
APP 2020 #34,2020-09-14 Regular,9/14/20,,,APP 2020 #34,,,,Ordained,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2687&MediaPosition=&ID=12553&CssClass=,regarding a Zoning Amendment Petition for a new Planned Unit Development PUD District CDK.,referred to the Planning Board and to the Ordinance Committee
APP 2020 #35,2020-09-21 Regular,9/21/20,,,APP 2020 #35,,,,Ordained,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2705&MediaPosition=&ID=12627&CssClass=,regarding a Zoning Ordinance to reflect the proposed changes to the KSURP.,Ordinance Committee and Planning Board
APP 2020 #46,2020-12-07 Regular,12/7/20,,,APP 2020 #46,,,,Ordained,yes,absent,yes,yes,yes,absent,yes,absent,yes,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2695&MediaPosition=&ID=13141&CssClass=,"regarding that the City require the installation of GREEN ROOFS vegetated or BioSolar on future construction and significant rehab of buildings that are 20,000 square feet and larger.  PASSED TO A SECOND READING IN COUNCIL APRIL 12, 2021",Referred to the Ordinance Committee and the Planning Board for a Hearing and Report.
APP 2020 #39,2021-03-08 Regular,3/8/21,,,APP 2020 #39,,,,Failed,no,no,absent,no,no,yes,no,no,no,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2796&MediaPosition=&ID=12769&CssClass=,regarding zoning language relative to the Alewife Quadrangle Northwest overlay.,"PASSED TO A SECOND READING IN COUNCIL MARCH 1, 2021 TO BE ORDAINED ON OR AFTER MARCH 15, 2021"
APP 2021 #24,2021-05-24 Regular,5/24/21,,,APP 2021 #24,,,,Ordained,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2806&MediaPosition=&ID=14091&CssClass=,"Zoning Amendments related to Retail and Consumer Service Establishments as amended on May 17, 2021 (Ordinance # 2021-3) PASSED TO A SECOND READING ON MAY 17, 2021 TO BE ORDAINED ON OR AFTER JUNE 7, 2021",
APP 2021 #25,2021-05-24 Regular,5/24/21,,,APP 2021 #25,,,,Ordained,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2806&MediaPosition=&ID=14093&CssClass=,"Zoning Amendments related to Home Occupations (ORDINANCE #2021-4) PASSED TO A SECOND READING ON MAY 17, 2021 TO BE ORDAINED ON OR AFTER JUNE 7, 2021",
APP 2021 #26,2021-05-24 Regular,5/24/21,,,APP 2021 #26,,,,Expired,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2806&MediaPosition=&ID=14104&CssClass=,"requesting that the City Council ordain ordinance language relative to the creation and operation of Neighborhood Conservation Districts in the city.  REFERRED TO THE ORDINANCE COMMITTEE IN COUNCIL MAY 25, 2021",
