Unique Identifier,Body,Type,Other,Session,Date,Time,Status,Id,url,Agenda Summary,Agenda Packet,Final Actions,Minutes
2021-12-06 Regular,City Council,Regular,,2020,2021-12-06,05:30 PM,completed,3968,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3968,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3550&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3550&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2432&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2432&Inline=True
2021-12-13 Regular,City Council,Regular,,2020,2021-12-13,05:30 PM,completed,3969,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3969,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3554&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3554&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2438&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2438&Inline=True
2021-12-20 Regular,City Council,Regular,,2020,2021-12-20,05:30 PM,completed,3970,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3970,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3558&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3558&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2440&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2440&Inline=True
2021-12-27 Regular,City Council,Regular,,2020,2021-12-27,05:30 PM,cancelled,3971,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3971,,,,
2022-01-03 Inaugural,City Council,Inaugural,,2022,2022-01-03,10:00 AM,completed,4013,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4013,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3562&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3562&Inline=True,,
2022-01-10 Regular,City Council,Regular,,2022,2022-01-10,05:30 PM,completed,4014,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4014,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3559&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3559&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2446&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2446&Inline=True
2022-01-24 Regular,City Council,Regular,,2022,2022-01-24,05:30 PM,completed,4015,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4015,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3568&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3568&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2448&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2448&Inline=True
2022-01-31 Regular,City Council,Regular,,2022,2022-01-31,05:30 PM,completed,4016,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4016,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3573&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3573&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2450&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2450&Inline=True
2022-02-07 Regular,City Council,Regular,,2022,2022-02-07,05:30 PM,completed,4017,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4017,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3581&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3581&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2453&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2453&Inline=True
2022-02-08 Roundtable,City Council,Roundtable,,2022,2022-02-08,05:30 PM,completed,4055,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4055,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3575&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3575&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2639&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2639&Inline=True
