Unique Identifier,Body,Type,Other,Session,Date,Time,Status,Id,url,Agenda Summary,Agenda Packet,Final Actions,Minutes
2026-01-26 Regular,City Council,Regular,,2026,2026-01-26,05:30 PM,completed,429,https://cambridgema.primegov.com/Portal/Meeting?meetingTemplateId=2170,https://cambridgema.primegov.com/Portal/Meeting?meetingTemplateId=2170,https://cambridgema.primegov.com/Portal/Meeting?meetingTemplateId=2172,https://cambridgema.primegov.com/Portal/Meeting?meetingTemplateId=2177,
2026-01-27 Special,City Council,Special,,2026,2026-01-27,09:00 AM,completed,455,https://cambridgema.primegov.com/Portal/Meeting?meetingTemplateId=2348,https://cambridgema.primegov.com/Portal/Meeting?meetingTemplateId=2348,https://cambridgema.primegov.com/Portal/Meeting?meetingTemplateId=2350,https://cambridgema.primegov.com/Portal/Meeting?meetingTemplateId=2355,
2026-02-02 Roundtable,City Council,Roundtable,,2026,2026-02-02,03:30 PM,completed,450,https://cambridgema.primegov.com/Portal/Meeting?meetingTemplateId=2311,https://cambridgema.primegov.com/Portal/Meeting?meetingTemplateId=2311,,,
2026-02-09 Regular,City Council,Regular,,2026,2026-02-09,05:30 PM,completed,451,https://cambridgema.primegov.com/Portal/Meeting?meetingTemplateId=2319,https://cambridgema.primegov.com/Portal/Meeting?meetingTemplateId=2319,,https://cambridgema.primegov.com/Portal/Meeting?meetingTemplateId=2326,
2026-02-23 Roundtable,City Council,Roundtable,,2026,2026-02-23,06:00 PM,cancelled,1656,https://cambridgema.primegov.com/Portal/Meeting?meetingTemplateId=8002,https://cambridgema.primegov.com/Portal/Meeting?meetingTemplateId=8002,,,
2026-02-27 Executive Session,City Council,Executive Session,,2026,2026-02-27,10:00 AM,completed,2088,https://cambridgema.primegov.com/Portal/Meeting?meetingTemplateId=10076,https://cambridgema.primegov.com/Portal/Meeting?meetingTemplateId=10076,,,
2026-03-02 Regular,City Council,Regular,,2026,2026-03-02,05:30 PM,completed,452,https://cambridgema.primegov.com/Portal/Meeting?meetingTemplateId=2327,https://cambridgema.primegov.com/Portal/Meeting?meetingTemplateId=2327,,https://cambridgema.primegov.com/Portal/Meeting?meetingTemplateId=2334,
2026-03-04 Roundtable,City Council,Roundtable,,2026,2026-03-04,04:00 PM,completed,2104,https://cambridgema.primegov.com/Portal/Meeting?meetingTemplateId=10185,https://cambridgema.primegov.com/Portal/Meeting?meetingTemplateId=10185,,,
2026-03-09 Executive Session,City Council,Executive Session,,2026,2026-03-09,02:30 PM,completed,2114,https://cambridgema.primegov.com/Portal/Meeting?meetingTemplateId=10241,https://cambridgema.primegov.com/Portal/Meeting?meetingTemplateId=10241,,https://cambridgema.primegov.com/Portal/Meeting?meetingTemplateId=10248,
2026-03-09 Regular,City Council,Regular,,2026,2026-03-09,05:30 PM,completed,2086,https://cambridgema.primegov.com/Portal/Meeting?meetingTemplateId=10007,https://cambridgema.primegov.com/Portal/Meeting?meetingTemplateId=10007,,https://cambridgema.primegov.com/Portal/Meeting?meetingTemplateId=10014,
