Unique Identifier,Body,Type,Other,Session,Date,Time,Status,Id,url,Agenda Summary,Agenda Packet,Final Actions,Minutes
2026-03-09 Hearing,City Council,Hearing,,2026,2026-03-09,06:30 PM,completed,2087,https://cambridgema.primegov.com/Portal/Meeting?meetingTemplateId=10068,https://cambridgema.primegov.com/Portal/Meeting?meetingTemplateId=10068,,https://cambridgema.primegov.com/Portal/Meeting?meetingTemplateId=10075,
2026-03-16 Regular,City Council,Regular,,2026,2026-03-16,05:30 PM,completed,2085,https://cambridgema.primegov.com/Portal/Meeting?meetingTemplateId=9999,https://cambridgema.primegov.com/Portal/Meeting?meetingTemplateId=9999,,https://cambridgema.primegov.com/Portal/Meeting?meetingTemplateId=10006,
2026-03-23 Regular,City Council,Regular,,2026,2026-03-23,05:30 PM,completed,2121,https://cambridgema.primegov.com/Portal/Meeting?meetingTemplateId=10279,https://cambridgema.primegov.com/Portal/Meeting?meetingTemplateId=10279,,https://cambridgema.primegov.com/Portal/Meeting?meetingTemplateId=10286,
2026-03-30 Regular,City Council,Regular,,2026,2026-03-30,05:30 PM,completed,2122,https://cambridgema.primegov.com/Portal/Meeting?meetingTemplateId=10287,https://cambridgema.primegov.com/Portal/Meeting?meetingTemplateId=10287,,https://cambridgema.primegov.com/Portal/Meeting?meetingTemplateId=10294,
2026-04-06 Roundtable,City Council,Roundtable,,2026,2026-04-06,03:00 PM,completed,2137,https://cambridgema.primegov.com/Portal/Meeting?meetingTemplateId=10357,https://cambridgema.primegov.com/Portal/Meeting?meetingTemplateId=10357,,https://cambridgema.primegov.com/Portal/Meeting?meetingTemplateId=10364,
2026-04-13 Regular,City Council,Regular,,2026,2026-04-13,05:30 PM,completed,2150,https://cambridgema.primegov.com/Portal/Meeting?meetingTemplateId=10441,https://cambridgema.primegov.com/Portal/Meeting?meetingTemplateId=10441,,https://cambridgema.primegov.com/Portal/Meeting?meetingTemplateId=10448,
2026-04-27 Regular,City Council,Regular,,2026,2026-04-27,05:30 PM,completed,2142,https://cambridgema.primegov.com/Portal/Meeting?meetingTemplateId=10387,https://cambridgema.primegov.com/Portal/Meeting?meetingTemplateId=10387,,https://cambridgema.primegov.com/Portal/Meeting?meetingTemplateId=10394,
2026-05-04 Regular,City Council,Regular,,2026,2026-05-04,05:30 PM,scheduled,2143,https://cambridgema.primegov.com/Portal/Meeting?meetingTemplateId=10395,https://cambridgema.primegov.com/Portal/Meeting?meetingTemplateId=10395,,,
2026-05-11 Regular,City Council,Regular,,2026,2026-05-11,05:30 PM,scheduled,2146,https://cambridgema.primegov.com/Portal/Meeting?meetingTemplateId=10413,https://cambridgema.primegov.com/Portal/Meeting?meetingTemplateId=10413,,,
2026-06-23 Special,City Council,Special,,2026,2026-06-23,10:00 AM,scheduled,2168,https://cambridgema.primegov.com/Portal/Meeting?meetingTemplateId=10530,https://cambridgema.primegov.com/Portal/Meeting?meetingTemplateId=10530,,,
