Unique Identifier,Body,Type,Other,Session,Date,Time,Status,Id,url,Agenda Summary,Agenda Packet,Final Actions,Minutes
2024-03-12 Planning Board,Planning Board,Planning Board,,2024,2024-03-12,06:30 PM,completed,4503,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4503,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=4033&Inline=True,,
2024-03-14 Committee,Ordinance Committee,Committee,,2024,2024-03-14,04:00 PM,completed,4512,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4512,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=4031&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=4031&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2800&Inline=True,
2024-03-14 Hearing – Remote,Board of Zoning Appeal,Hearing – Remote,,2024,2024-03-14,06:00 PM,completed,4508,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4508,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=4026&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=4026&Inline=True,,
2024-03-18 Regular,City Council,Regular,,2024,2024-03-18,05:30 PM,completed,4472,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4472,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=4036&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=4036&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2798&Inline=True,
2024-03-19 Committee,Finance Committee,Committee,,2024,2024-03-19,03:00 PM,completed,4500,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4500,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=4015&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=4015&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2831&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2831&Inline=True
2024-03-19 Planning Board,Planning Board,Planning Board,,2024,2024-03-19,06:30 PM,completed,4497,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4497,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=4034&Inline=True,,
2024-03-25 Regular,City Council,Regular,,2024,2024-03-25,05:30 PM,completed,4473,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4473,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=4042&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=4042&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2816&Inline=True,
2024-03-26 Committee,Finance Committee,Committee,,2024,2024-03-26,03:00 PM,completed,4501,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4501,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=4016&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=4016&Inline=True,,
2024-03-27 Committee,Health & Environment Committee,Committee,,2024,2024-03-27,12:00 PM,completed,4509,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4509,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=4028&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=4028&Inline=True,,
2024-03-28 Hearing – Remote,Board of Zoning Appeal,Hearing – Remote,,2024,2024-03-28,06:00 PM,completed,4513,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4513,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=4032&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=4032&Inline=True,,
2024-04-01 Regular,City Council,Regular,,2024,2024-04-01,05:30 PM,completed,4474,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4474,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=4047&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=4047&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2840&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2840&Inline=True
2024-04-02 Committee,Public Safety Committee,Committee,,2024,2024-04-02,03:00 PM,completed,4511,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4511,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=4030&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=4030&Inline=True,,
2024-04-08 Regular,City Council,Regular,,2024,2024-04-08,05:30 PM,completed,4475,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4475,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=4051&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=4051&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2841&Inline=True,
