Unique Identifier,Body,Type,Other,Session,Date,Time,Status,Id,url,Agenda Summary,Agenda Packet,Final Actions,Minutes
2025-01-06 Regular,City Council,Regular,,2025,2025-01-06,05:30 PM,completed,4630,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4630,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=4168&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=4168&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2963&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2963&Inline=True
2025-01-13 Roundtable,City Council,Roundtable,,2025,2025-01-13,05:30 PM,completed,4631,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4631,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=4167&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=4167&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2964&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2964&Inline=True
2025-01-27 Special,City Council,Special,,2025,2025-01-27,04:00 PM,completed,4664,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4664,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=4176&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=4176&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2969&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2969&Inline=True
2025-01-27 Regular,City Council,Regular,,2025,2025-01-27,05:30 PM,completed,4632,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4632,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=4175&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=4175&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2968&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2968&Inline=True
2025-02-03 Special,City Council,Special,,2025,2025-02-03,04:00 PM,completed,4669,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4669,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=4181&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=4181&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2972&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2972&Inline=True
2025-02-03 Regular,City Council,Regular,,2025,2025-02-03,05:30 PM,completed,4633,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4633,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=4177&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=4177&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2971&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2971&Inline=True
2025-02-10 Special,City Council,Special,,2025,2025-02-10,03:00 PM,completed,4672,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4672,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=4185&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=4185&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2975&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2975&Inline=True
2025-02-10 Regular,City Council,Regular,,2025,2025-02-10,05:30 PM,completed,4634,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4634,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=4187&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=4187&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2976&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2976&Inline=True
2025-02-18 Special,City Council,Special,,2025,2025-02-18,03:00 PM,completed,4675,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4675,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=4191&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=4191&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2977&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2977&Inline=True
2025-02-24 Roundtable,City Council,Roundtable,,2025,2025-02-24,05:30 PM,completed,4635,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4635,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=4186&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=4186&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2978&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2978&Inline=True
2025-03-03 Special,City Council,Special,,2025,2025-03-03,10:00 AM,completed,4685,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4685,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=4202&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=4202&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2995&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2995&Inline=True
