Unique Identifier,Body,Type,Other,Session,Date,Time,Status,Id,url,Agenda Summary,Agenda Packet,Final Actions,Minutes
2022-01-03 Inaugural,City Council,Inaugural,,2022,2022-01-03,10:00 AM,completed,4013,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4013,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3562&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3562&Inline=True,,
2022-01-10 Regular,City Council,Regular,,2022,2022-01-10,05:30 PM,completed,4014,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4014,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3559&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3559&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2446&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2446&Inline=True
2022-01-24 Regular,City Council,Regular,,2022,2022-01-24,05:30 PM,completed,4015,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4015,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3568&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3568&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2448&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2448&Inline=True
2022-01-31 Regular,City Council,Regular,,2022,2022-01-31,05:30 PM,completed,4016,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4016,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3573&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3573&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2450&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2450&Inline=True
2022-02-07 Regular,City Council,Regular,,2022,2022-02-07,05:30 PM,completed,4017,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4017,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3581&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3581&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2453&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2453&Inline=True
2022-02-08 Roundtable,City Council,Roundtable,,2022,2022-02-08,05:30 PM,completed,4055,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4055,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3575&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3575&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2639&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2639&Inline=True
2022-02-14 Roundtable,City Council,Roundtable,,2022,2022-02-14,05:30 PM,completed,4018,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4018,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3585&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3585&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2455&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2455&Inline=True
2022-02-28 Regular,City Council,Regular,,2022,2022-02-28,05:30 PM,completed,4019,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4019,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3596&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3596&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2465&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2465&Inline=True
2022-03-07 Regular,City Council,Regular,,2022,2022-03-07,05:30 PM,completed,4020,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4020,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3600&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3600&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2473&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2473&Inline=True
2022-03-14 Regular,City Council,Regular,,2022,2022-03-14,05:30 PM,cancelled,4021,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4021,,,,
