Body,Type,Other,Date,Time,Status,Id,url,Agenda Summary,Agenda Packet,Final Actions,Minutes
"Government Operations, Rules & Claims Committee",Committee,,07/20/20,02:00 PM,completed,2685,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2685,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=2256&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=2256&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2201&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2201&Inline=True
Housing Committee,Committee,,07/21/20,02:00 PM,completed,2683,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2683,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=2248&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=2248&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2232&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2232&Inline=True
Planning Board,Planning Board,,07/21/20,06:30 PM,completed,2669,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2669,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=2260&Inline=True,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2219&Inline=True
Community Benefits Advisory Committee,Regular,,07/22/20,10:00 AM,completed,2817,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2817,,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2281&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2281&Inline=True
"Government Operations, Rules & Claims Committee",Committee,,07/22/20,02:00 PM,completed,2684,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2684,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=2257&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=2257&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2202&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2202&Inline=True
Ordinance Committee,Committee,,07/22/20,05:00 PM,cancelled,2677,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2677,,,,
Board of Zoning Appeal,Hearing – Remote,,07/23/20,06:00 PM,completed,2662,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2662,,,,
City Council,Special,,07/27/20,05:30 PM,completed,2656,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2656,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=2266&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=2266&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2204&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2204&Inline=True
Transportation & Public Utilities Committee,Committee,,07/29/20,02:00 PM,completed,2699,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2699,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=2259&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=2259&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2205&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2205&Inline=True
Economic Development & University Relations Committee,Committees,,07/30/20,10:00 AM,completed,2678,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2678,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=2250&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=2250&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2241&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2241&Inline=True
