Unique Identifier,Meeting,Meeting Date,Agenda Number,Category,Awaiting Report,Policy Order,Charter Right,Outcome,Vote,Sumbul Siddiqui,Alanna Mallon,Burhan Azeem,Dennis J. Carlone,Marc C. McGovern,Patricia Nolan,E. Denise Simmons,Paul F. Toner,Quinton Zondervan,Link,Notes
CMA 2023 #193,08/07/23 Special,08/07/23,1,Appointment,,,,Placed on File,Unanimous,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4353&MediaPosition=&ID=20262&CssClass=,
CMA 2023 #194,08/07/23 Special,08/07/23,2,Appointment,,,,Placed on File,Unanimous,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4353&MediaPosition=&ID=20274&CssClass=,
CMA 2023 #195,08/07/23 Special,08/07/23,3,Awaiting Report Response,,,,REFERRED TO THE PETITION,Unanimous,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4353&MediaPosition=&ID=20276&CssClass=,
CMA 2023 #196,08/07/23 Special,08/07/23,4,Transmitting Communication,,,,REFERRED TO THE PETITION,Unanimous,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4353&MediaPosition=&ID=20299&CssClass=,
CMA 2023 #197,08/07/23 Special,08/07/23,5,Appointment,,,,Placed on File,Unanimous,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4353&MediaPosition=&ID=20256&CssClass=,
CMA 2023 #198,08/07/23 Special,08/07/23,6,Appropriation,,,,Adopted,Unanimous,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4353&MediaPosition=&ID=20254&CssClass=,
CMA 2023 #199,08/07/23 Special,08/07/23,7,Appropriation,,,,Adopted,Unanimous,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4353&MediaPosition=&ID=20253&CssClass=,
CMA 2023 #200,08/07/23 Special,08/07/23,8,Appropriation,,,,Adopted,Unanimous,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4353&MediaPosition=&ID=20249&CssClass=,
CMA 2023 #201,08/07/23 Special,08/07/23,9,Appropriation,,,,Adopted,Unanimous,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4353&MediaPosition=&ID=20250&CssClass=,
CMA 2023 #202,08/07/23 Special,08/07/23,10,Appropriation,,,,Adopted,Unanimous,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4353&MediaPosition=&ID=20251&CssClass=,
CMA 2023 #203,08/07/23 Special,08/07/23,11,Appointment,,,,Placed on File,Unanimous,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4353&MediaPosition=&ID=20275&CssClass=,
CMA 2023 #204,08/07/23 Special,08/07/23,12,Transmitting Communication,,,,Placed on File,Unanimous,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4353&MediaPosition=&ID=20255&CssClass=,Referred to Ordinance Committee
CMA 2023 #205,08/07/23 Special,08/07/23,13,Appropriation,,,,Adopted,Unanimous,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4353&MediaPosition=&ID=20247&CssClass=,
