Unique Identifier,Meeting,Meeting Date,Agenda Number,Category,Awaiting Report,Policy Order,Charter Right,Outcome,Vote,Sumbul Siddiqui,Alanna Mallon,Burhan Azeem,Dennis J. Carlone,Marc C. McGovern,Patricia Nolan,E. Denise Simmons,Paul F. Toner,Quinton Zondervan,Link,Notes
CMA 2023 #262,10/30/23 Regular,10/30/23,3,Awaiting Report Response,AR-23-19,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4389&MediaPosition=&ID=21064&CssClass=,
CMA 2023 #263,10/30/23 Regular,10/30/23,4,Appropriation,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4389&MediaPosition=&ID=20999&CssClass=,APPROPRIATION ADOPTED 9-0-0
CMA 2023 #264,10/30/23 Regular,10/30/23,5,Appropriation,,,,Placed on File,8-0-1,yes,yes,yes,yes,yes,absent,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4389&MediaPosition=&ID=20998&CssClass=,APPROPRIATION ADOPTED 8-0-1
CMA 2023 #265,10/30/23 Regular,10/30/23,6,Transmitting Communication,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4389&MediaPosition=&ID=21060&CssClass=,
CMA 2023 #266,11/06/23 Regular,11/06/23,1,Appropriation,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4390&MediaPosition=&ID=21113&CssClass=,APPROPRIATION ADOPTED CMA
CMA 2023 #267,11/06/23 Regular,11/06/23,2,Awaiting Report Response,AR-23-61,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4390&MediaPosition=&ID=21112&CssClass=,
CMA 2023 #268,11/06/23 Regular,11/06/23,3,Awaiting Report Response,AR-23-65,,,Placed on File,Unanimous,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4390&MediaPosition=&ID=21114&CssClass=,"LEAVE BLOWER ORDINANCE LANGUAGE PASSED TO A SECOND READING 9-0-0 FINIALIZED IN COUNCIL NOVEMBER 6, 2023"
CMA 2023 #269,11/06/23 Regular,11/06/23,4,Transmitting Communication,,,,Placed on File,Unanimous,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4390&MediaPosition=&ID=21116&CssClass=,MOTION TO ACCEPT THE AMENDMENTS TO ORDINANCE #8 SUGGESTED BY CITY STAFF IN CMA 2023 #269 9-0-0
CMA 2023 #270,11/06/23 Regular,11/06/23,5,Awaiting Report Response,AR-23-63,,,Placed on File,Unanimous,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4390&MediaPosition=&ID=21117&CssClass=,MOTION TO ADOPT THE HOME RULE PETITION RELATED ORDER 9-0-0. . MOTION TO ACCEPT THE AMENDMENTS TO ORDINANCE #8 SUGGESTED BY CITY STAFF IN CMA 2023 #270 9-0-0. 
CMA 2023 #271,11/20/23 Regular,11/20/23,1,Appointment,,,,APPROVED,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4392&MediaPosition=&ID=21160&CssClass=,
CMA 2023 #272,11/20/23 Regular,11/20/23,2,Appropriation,,,Patricia Nolan,Charter Right,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4392&MediaPosition=&ID=21192&CssClass=,"CHARTER RIGHT EXERCISED BY COUNCILLOR NOLAN IN COUNCIL NOVEMBER 20, 2023"
CMA 2023 #273,11/20/23 Regular,11/20/23,3,Transmitting Communication,,,Paul F. Toner,Charter Right,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4392&MediaPosition=&ID=21172&CssClass=,"CHARTER RIGHT EXERCISED BY COUNCILLOR. TONER. IN COUNCIL NOVEMBER 20, 2023"
CMA 2023 #274,11/20/23 Regular,11/20/23,4,Awaiting Report Response,AR-23-72,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4392&MediaPosition=&ID=21168&CssClass=,
CMA 2023 #275,11/20/23 Regular,11/20/23,5,Transmitting Communication,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4392&MediaPosition=&ID=21169&CssClass=,
CMA 2023 #276,11/20/23 Regular,11/20/23,6,Awaiting Report Response,,POR 2023 #207,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4392&MediaPosition=&ID=21173&CssClass=,
CMA 2023 #277,11/20/23 Regular,11/20/23,7,Transmitting Communication,,,,Placed on File,7-2-0,yes,yes,yes,no,yes,yes,yes,yes,no,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4392&MediaPosition=&ID=21178&CssClass=,
CMA 2023 #278,11/20/23 Regular,11/20/23,8,Transmitting Communication,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4392&MediaPosition=&ID=21199&CssClass=,
CMA 2023 #279,11/20/23 Regular,11/20/23,9,Transmitting Communication,,,,REFERRED,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4392&MediaPosition=&ID=21171&CssClass=,CMA 2023 #279 TO ORDINANCE 2023 #11 FREEMEN COMMISSION ON UNFINISHED BUSINESS
CMA 2023 #280,11/20/23 Regular,11/20/23,10,Awaiting Report Response,AR-22-40,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4392&MediaPosition=&ID=21167&CssClass=,
CMA 2023 #281,11/20/23 Regular,11/20/23,11,Transmitting Communication,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4392&MediaPosition=&ID=21184&CssClass=,
CMA 2023 #282,11/20/23 Regular,11/20/23,12,Appropriation,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4392&MediaPosition=&ID=21196&CssClass=,APPROPRIATION ADOPTED CMA PLACED ON FILE
CMA 2023 #283,12/04/23 Regular,12/04/23,1,Appointment,,,,APPROVED,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4394&MediaPosition=&ID=21421&CssClass=,VOTE TO
CMA 2023 #284,12/04/23 Regular,12/04/23,2,Appointment,,,,APPROVED,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4394&MediaPosition=&ID=21419&CssClass=,VOTE TO
CMA 2023 #285,12/04/23 Regular,12/04/23,3,Transmitting Communication,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4394&MediaPosition=&ID=21435&CssClass=,
CMA 2023 #286,12/04/23 Regular,12/04/23,4,Transmitting Communication,,,,Adopted,7-2-0,yes,yes,yes,yes,yes,yes,no,no,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4394&MediaPosition=&ID=21553&CssClass=,
CMA 2023 #287,12/04/23 Regular,12/04/23,5,Appropriation,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4394&MediaPosition=&ID=21525&CssClass=,APPROPRIATION ADOPTED CMA PLACED ON FILE
CMA 2023 #288,12/04/23 Regular,12/04/23,6,Appointment,,,,APPROVED,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4394&MediaPosition=&ID=21431&CssClass=,VOTE TO
CMA 2023 #289,12/04/23 Regular,12/04/23,7,Transmitting Communication,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4394&MediaPosition=&ID=21469&CssClass=,
CMA 2023 #290,12/04/23 Regular,12/04/23,8,Transmitting Communication,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4394&MediaPosition=&ID=21624&CssClass=,
CMA 2023 #291,12/11/23 Regular,12/11/23,1,Appointment,,,,APPROVED,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4395&MediaPosition=&ID=21634&CssClass=,VOTE TO APPROVE AND PLACE CMA ON FILE
CMA 2023 #292,12/11/23 Regular,12/11/23,2,Appropriation,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4395&MediaPosition=&ID=21635&CssClass=,APPROPRIATION ADOPTED CMA PLACED ON FILE
CMA 2023 #293,12/11/23 Regular,12/11/23,3,Appropriation,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4395&MediaPosition=&ID=21636&CssClass=,APPROPRIATION ADOPTED CMA PLACED ON FILE
CMA 2023 #294,12/11/23 Regular,12/11/23,4,Appropriation,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4395&MediaPosition=&ID=21637&CssClass=,APPROPRIATION ADOPTED CMA PLACED ON FILE
CMA 2023 #295,12/11/23 Regular,12/11/23,5,Appropriation,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4395&MediaPosition=&ID=21638&CssClass=,APPROPRIATION ADOPTED CMA PLACED ON FILE
CMA 2023 #296,12/11/23 Regular,12/11/23,6,Awaiting Report Response,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4395&MediaPosition=&ID=21639&CssClass=,
CMA 2023 #297,12/11/23 Regular,12/11/23,7,Transmitting Communication,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4395&MediaPosition=&ID=21663&CssClass=,MOTION TO ADOPT THE HAZARD MITIGATION PLAN AND PLACE CMA ON FILE
CMA 2023 #298,12/11/23 Regular,12/11/23,8,Transmitting Communication,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4395&MediaPosition=&ID=21667&CssClass=,
CMA 2023 #299,12/18/23 Regular,12/18/23,1,Awaiting Report Response,AR-23-40,,,Placed on File,8-0-1,yes,yes,absent,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4396&MediaPosition=&ID=21730&CssClass=,
CMA 2023 #300,12/18/23 Regular,12/18/23,2,Awaiting Report Response,AR-21-29,,,Placed on File,8-0-1,yes,yes,absent,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4396&MediaPosition=&ID=21738&CssClass=,
CMA 2023 #301,12/18/23 Regular,12/18/23,3,Awaiting Report Response,AR-23-32,,,Placed on File,8-0-1,yes,yes,absent,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4396&MediaPosition=&ID=21728&CssClass=,
CMA 2023 #302,12/18/23 Regular,12/18/23,4,Appropriation,,,,Placed on File,8-0-1,yes,yes,absent,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4396&MediaPosition=&ID=21734&CssClass=,APPROPRIATION ADOPTED CMA
CMA 2023 #303,12/18/23 Regular,12/18/23,5,Transmitting Communication,,,,Placed on File,Unanimous,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4396&MediaPosition=&ID=21737&CssClass=,"ORDER FAILED OF ADOPTION 2-6-1. yeas (carlone, simmons). nays (zondervan, mcgovern, siddiqui, toner, nolan, , mallon). absent (azeem)"
CMA 2023 #304,12/18/23 Regular,12/18/23,6,Appropriation,,,,Placed on File,8-0-1,yes,yes,absent,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4396&MediaPosition=&ID=21720&CssClass=,APPROPRIATION ADOPTED CMA
CMA 2023 #305,12/18/23 Regular,12/18/23,7,Appropriation,,,,Placed on File,8-0-1,yes,yes,absent,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4396&MediaPosition=&ID=21721&CssClass=,APPROPRIATION ADOPTED CMA
CMA 2023 #306,12/18/23 Regular,12/18/23,8,Transmitting Communication,,,,Placed on File,Unanimous,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4396&MediaPosition=&ID=21739&CssClass=,"ACCEPT AND APPROVE THE SURVEILANCE TECHNOLOGY REPORT 7-1-1. yeas (carlone, , mallon, mcgovern, nolan, simmons, toner, siddiqui). nays (zondervan). absent (azeem)"
CMA 2023 #307,12/18/23 Regular,12/18/23,9,Awaiting Report Response,AR-23-82,,,Placed on File,8-0-1,yes,yes,absent,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4396&MediaPosition=&ID=21743&CssClass=,
CMA 2023 #308,12/18/23 Regular,12/18/23,10,Appropriation,,,,Placed on File,8-0-1,yes,yes,absent,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4396&MediaPosition=&ID=21727&CssClass=,APPROPRIATION ADOPTED CMA
CMA 2023 #309,12/18/23 Regular,12/18/23,11,Appropriation,,,,Placed on File,8-0-1,yes,yes,absent,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4396&MediaPosition=&ID=21748&CssClass=,
