Unique Identifier,Agenda Number,Meeting,Meeting Date,Sponsor,Co-Sponsors,Charter Right,Amended,Outcome,Vote,E. Denise Simmons,Marc C. McGovern,Burhan Azeem,Patricia Nolan,Sumbul Siddiqui,Paul F. Toner,Ayesha M. Wilson,Jivan Sobrinho-Wheeler,Joan Pickett,Yeas,Nays,Present,Absent,Recused,Link,Summary,Notes
POR 2024 #26,1,2024-03-04 Regular,2024-03-04,Paul F. Toner,,,,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4470&MediaPosition=&ID=22284&CssClass=,That the Executive Assistant to the City Council confer with the Dedication Committee to consider a request for a dedication in a suitable location in honor of Paul Ryder.,
POR 2024 #27,2,2024-03-04 Regular,2024-03-04,E. Denise Simmons,,,,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4470&MediaPosition=&ID=22290&CssClass=,"That the City Manager is requested to dispatch the appropriate City ",
POR 2024 #28,3,2024-03-04 Regular,2024-03-04,E. Denise Simmons,,,,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4470&MediaPosition=&ID=22294&CssClass=,"Cancellation of the City Council meeting of March 11, 2024.",
POR 2024 #29,4,2024-03-04 Regular,2024-03-04,Marc C. McGovern,Ayesha M. Wilson,,,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4470&MediaPosition=&ID=22298&CssClass=,In appreciation of Social Workers and National Social Worker Month.,
POR 2024 #30,5,2024-03-04 Regular,2024-03-04,Sumbul Siddiqui,"Jivan Sobrinho-Wheeler,Marc C. McGovern,Burhan Azeem",,,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4470&MediaPosition=&ID=22299&CssClass=,Tenant Protection Resources.,
