Unique Identifier,Agenda Number,Meeting,Meeting Date,Category,Sponsor,Outcome,Vote,E. Denise Simmons,Marc C. McGovern,Burhan Azeem,Patricia Nolan,Sumbul Siddiqui,Paul F. Toner,Ayesha M. Wilson,Jivan Sobrinho-Wheeler,Catherine Zusy,Yeas,Nays,Present,Absent,Recused,Link,Summary,Notes
RES 2025 #44,6,2025-03-03 Regular,2025-03-03,Congratulations,Paul F. Toner,Adopted,8 to 0,yes,yes,yes,yes,absent,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4644&MediaPosition=&ID=26979&CssClass=,Congratulations to Christopher Samuel on his retirement from the Cambridge Police Department.,
RES 2025 #45,7,2025-03-03 Regular,2025-03-03,Congratulations,Paul F. Toner,Adopted,8 to 0,yes,yes,yes,yes,absent,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4644&MediaPosition=&ID=26981&CssClass=,Congratulations to Anthony Santiago on his retirement from the Cambridge Police Department.,
RES 2025 #46,8,2025-03-03 Regular,2025-03-03,Resolution,Sumbul Siddiqui,Adopted,8 to 0,yes,yes,yes,yes,absent,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4644&MediaPosition=&ID=27789&CssClass=,Congratulations to Lovestruck Books on its Grand Opening in Cambridge.,
RES 2025 #47,9,2025-03-03 Regular,2025-03-03,Death Resolution,Paul F. Toner,Adopted,8 to 0,yes,yes,yes,yes,absent,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4644&MediaPosition=&ID=27793&CssClass=,Condolences on the death of Kevin Clark,
RES 2025 #48,10,2025-03-03 Regular,2025-03-03,Death Resolution,E. Denise Simmons,Adopted,8 to 0,yes,yes,yes,yes,absent,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4644&MediaPosition=&ID=27795&CssClass=,Condolence Resolution for Pamela J. Harding,
RES 2025 #49,1,2025-03-17 Regular,2025-03-17,Happy Birthday Resolution,E. Denise Simmons,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4645&MediaPosition=&ID=27806&CssClass=,Happy 93rd Birthday wishes to Moses Moore.,
RES 2025 #50,2,2025-03-17 Regular,2025-03-17,Congratulations,Paul F. Toner,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4645&MediaPosition=&ID=27836&CssClass=,Congratulations to Deborah Mason on her 50th Anniversary of dedication to the arts and dance education in Cambridge,
RES 2025 #51,3,2025-03-17 Regular,2025-03-17,Resolution,Sumbul Siddiqui,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4645&MediaPosition=&ID=27834&CssClass=,Congratulations to Ronit Barkai on her retirement from Transition House.,
RES 2025 #52,4,2025-03-17 Regular,2025-03-17,Congratulations,Paul F. Toner,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4645&MediaPosition=&ID=27844&CssClass=,Congratulations to Officer Oswaldo Ortiz on his retirement from the Cambridge Police Department.,
RES 2025 #53,5,2025-03-17 Regular,2025-03-17,Congratulations,Paul F. Toner,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4645&MediaPosition=&ID=27849&CssClass=,Congratulations to Fire Lieutenant Adam Shuman on his retirement from the Cambridge Fire Department.,
RES 2025 #54,6,2025-03-17 Regular,2025-03-17,Congratulations,Paul F. Toner,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4645&MediaPosition=&ID=27859&CssClass=,Congratulations to Heli Medeiros on retiring from the Cambridge Health Alliance.,
RES 2025 #55,7,2025-03-17 Regular,2025-03-17,Congratulations,Ayesha M. Wilson,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4645&MediaPosition=&ID=27912&CssClass=,"Congratulations to the 3rd Annual ""Public Vs. Prep"" Tournament.",
RES 2025 #56,1,2025-03-24 Regular,2025-03-24,Congratulations,Paul F. Toner,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4646&MediaPosition=&ID=26977&CssClass=,Congratulations to William Renzi on his retirement from the Department of Public Works.,
RES 2025 #57,2,2025-03-24 Regular,2025-03-24,Congratulations,Paul F. Toner,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4646&MediaPosition=&ID=27853&CssClass=,Congratulations to Ana Nava on her retirement from the Cambridge Health Alliance.,
RES 2025 #58,3,2025-03-24 Regular,2025-03-24,Congratulations,Paul F. Toner,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4646&MediaPosition=&ID=27935&CssClass=,Congratulations to Leona Golden on her retirement from the Cambridge Health Alliance.,
RES 2025 #59,4,2025-03-24 Regular,2025-03-24,Resolution,E. Denise Simmons,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4646&MediaPosition=&ID=27936&CssClass=,Welcome American Library Association President Cindy Hohl to Cambridge.,
RES 2025 #60,5,2025-03-24 Regular,2025-03-24,Death Resolution,Paul F. Toner,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4646&MediaPosition=&ID=27942&CssClass=,"Condolences on the death of Gladys ""Pebble"" Gifford.",
RES 2025 #61,6,2025-03-24 Regular,2025-03-24,Congratulations,Paul F. Toner,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4646&MediaPosition=&ID=27851&CssClass=,Congratulations to Joanne Bosco on her retirement from the Cambridge Health Alliance.,
RES 2025 #62,7,2025-03-24 Regular,2025-03-24,Congratulations,Paul F. Toner,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4646&MediaPosition=&ID=27855&CssClass=,Congratulations to Seamus Whelan on his retirement from the Cambridge Health Alliance.,
RES 2025 #66,1,2025-03-31 Regular,2025-03-31,Death Resolution,Marc C. McGovern,Adopted,Unanimous,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4647&MediaPosition=&ID=28202&CssClass=,Resolution on the death of Donna J. Barry.,
RES 2025 #67,2,2025-03-31 Regular,2025-03-31,Resolution,E. Denise Simmons,Adopted,Unanimous,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4647&MediaPosition=&ID=28206&CssClass=,20th anniversary of the Andrea Harvey Memorial Fund.,
RES 2025 #68,3,2025-03-31 Regular,2025-03-31,Death Resolution,E. Denise Simmons,Adopted,Unanimous,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4647&MediaPosition=&ID=28208&CssClass=,"Resolution on the passing of Joseph Nichols, Sr.",
RES 2025 #69,4,2025-03-31 Regular,2025-03-31,Death Resolution,Catherine Zusy,Adopted,Unanimous,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4647&MediaPosition=&ID=28215&CssClass=,Resolution on the death of Carol Elizabeth Moses.,
RES 2025 #70,5,2025-03-31 Regular,2025-03-31,Congratulations,Paul F. Toner,Adopted,Unanimous,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4647&MediaPosition=&ID=26971&CssClass=,Congratulations to Paula Gates on her retirement from the Water Department.,
RES 2025 #71,6,2025-03-31 Regular,2025-03-31,Congratulations,Paul F. Toner,Adopted,Unanimous,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4647&MediaPosition=&ID=28051&CssClass=,Congratulations to Meredith Woods on her retirement from the Cambridge Public Library.,
RES 2025 #72,7,2025-03-31 Regular,2025-03-31,Congratulations,Paul F. Toner,Adopted,Unanimous,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4647&MediaPosition=&ID=28223&CssClass=,Congratulations to Brian McCoy on his retirement from the Cambridge Water Department.,
RES 2025 #73,8,2025-03-31 Regular,2025-03-31,Congratulations,Paul F. Toner,Adopted,Unanimous,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4647&MediaPosition=&ID=28232&CssClass=,Congratulations to James Rita on his retirement from the Cambridge Water Department.,
RES 2025 #74,9,2025-03-31 Regular,2025-03-31,Congratulations,Ayesha M. Wilson,Adopted,Unanimous,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4647&MediaPosition=&ID=28235&CssClass=,Resolution Congratulating Local Author Ora Grodsky,
RES 2025 #75,10,2025-03-31 Regular,2025-03-31,Resolution,E. Denise Simmons,Adopted,8 to 0,yes,yes,yes,yes,yes,yes,yes,absent,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4647&MediaPosition=&ID=28244&CssClass=,Resolution Acknowledging National Library Week 2025,
RES 2025 #76,11,2025-03-31 Regular,2025-03-31,Resolution,E. Denise Simmons,Adopted,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4647&MediaPosition=&ID=28245&CssClass=,Resolution Recognizing April as International Black Women's History Month,
RES 2025 #77,12,2025-03-31 Regular,2025-03-31,Agenda Item,Burhan Azeem,Charter Right,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4647&MediaPosition=&ID=28248&CssClass=,"On the Annexation of Boston and Formation of MegaCambridge on April 1 CHARTER RIGHT EXERCISED BY COUNCILLOR AZEEM IN COUNCIL MARCH 31, 2025",EXERCISED BY COUNCILLOR AZEEM
RES 2025 #78,13,2025-03-31 Regular,2025-03-31,Congratulations,Ayesha M. Wilson,Adopted,8 to 0,yes,yes,yes,yes,yes,yes,yes,absent,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4647&MediaPosition=&ID=28247&CssClass=,Resolution Honoring 45th Anniversary of the  Xi Tau Chapter of Delta Sigma Theta,
RES 2025 #79,1,2025-04-07 Regular,2025-04-07,Congratulations,E. Denise Simmons,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4648&MediaPosition=&ID=28249&CssClass=,Congratulations to Andrew Satter for his Diner Project Exhibit.,
RES 2025 #80,2,2025-04-07 Regular,2025-04-07,Death Resolution,E. Denise Simmons,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4648&MediaPosition=&ID=28603&CssClass=,Condolences to the family of James L. Lewis.,
RES 2025 #81,3,2025-04-07 Regular,2025-04-07,Death Resolution,E. Denise Simmons,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4648&MediaPosition=&ID=28611&CssClass=,Condolences to the family of Hector L. Cabrera Calzada.,
RES 2025 #82,4,2025-04-07 Regular,2025-04-07,Resolution,Marc C. McGovern,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4648&MediaPosition=&ID=28658&CssClass=,Resolution in recognition of the Department of Transportation.,
RES 2025 #83,5,2025-04-07 Regular,2025-04-07,Congratulations,Jivan Sobrinho-Wheeler,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4648&MediaPosition=&ID=28896&CssClass=,Congratulations to Bishop Cristiano Barbosa for earning the prestigious honor as the Massachusetts Alliance of Portuguese Speakers’ Person of the Year.,
RES 2025 #84,6,2025-04-07 Regular,2025-04-07,Congratulations,Jivan Sobrinho-Wheeler,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4648&MediaPosition=&ID=28897&CssClass=,Congratulations to Edilia Gomes for earning the prestigious honor as the Massachusetts Alliance of Portuguese Speakers’ 2025 Mary & Manuel Rogers Lifetime Community Service Award.,
RES 2025 #85,7,2025-04-07 Regular,2025-04-07,Congratulations,Jivan Sobrinho-Wheeler,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4648&MediaPosition=&ID=28899&CssClass=,Congratulations to Michael Carreiro for earning the prestigious honor as the Massachusetts Alliance of Portuguese Speakers’ 2025 Alvaro Lima Outstanding Business Award.,
RES 2025 #86,1,2025-04-14 Regular,2025-04-14,Death Resolution,Paul F. Toner,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4649&MediaPosition=&ID=28925&CssClass=,Condolences on the death of Barbara (Caulfield) Jump.,
RES 2025 #87,2,2025-04-14 Regular,2025-04-14,Congratulations,Paul F. Toner,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4649&MediaPosition=&ID=28926&CssClass=,"Congratulations on the Grand Opening of McCarthy's and Toad, a new Irish pub in Porter Square.",
RES 2025 #88,3,2025-04-14 Regular,2025-04-14,Death Resolution,E. Denise Simmons,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4649&MediaPosition=&ID=29047&CssClass=,Condolences to the family of Linda Marie Galloway.,
RES 2025 #89,4,2025-04-14 Regular,2025-04-14,Congratulations,Paul F. Toner,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4649&MediaPosition=&ID=29189&CssClass=,"Congratulations to The Cambridge Program's Basketball Teams - The Warriors capturing their 9th consecutive State Championship win, The Falcons securing silver, and the newest team The Ryders, learning and developing their skills each game.",
RES 2025 #90,5,2025-04-14 Regular,2025-04-14,Congratulations,Paul F. Toner,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4649&MediaPosition=&ID=29199&CssClass=,"Congratulations to David Tynes,  Program Director at The Cambridge Program for Individuals with Special Needs, on receiving the Heroes Among Us Award.",
RES 2025 #94,1,2025-04-28 Regular,2025-04-28,Congratulations,Paul F. Toner,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4650&MediaPosition=&ID=26769&CssClass=,Congratulations to Lieutenant Thomas Glynn on his retirement from the Cambridge Police Department.,
RES 2025 #95,2,2025-04-28 Regular,2025-04-28,Congratulations,Paul F. Toner,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4650&MediaPosition=&ID=29252&CssClass=,Congratulations to Firefighter Stephon Kinn on his retirement from the Cambridge Fire Department.,
RES 2025 #96,3,2025-04-28 Regular,2025-04-28,Congratulations,Paul F. Toner,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4650&MediaPosition=&ID=29254&CssClass=,Congratulations to Captain John R. Mulligan on his retirement from the Cambridge Fire Department.,
RES 2025 #97,4,2025-04-28 Regular,2025-04-28,Congratulations,Paul F. Toner,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4650&MediaPosition=&ID=29264&CssClass=,Congratulations to Sugar & Spice Thai Restaurant for being named the 2025 New England Family-Owned Business of the Year by the U.S. Small Business Administration.,
RES 2025 #98,5,2025-04-28 Regular,2025-04-28,Congratulations,Paul F. Toner,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4650&MediaPosition=&ID=29293&CssClass=,Congratulations to Lieutenant Steven Brown on his retirement from the Cambridge Fire Department.,
RES 2025 #99,6,2025-04-28 Regular,2025-04-28,Congratulations,Paul F. Toner,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4650&MediaPosition=&ID=29294&CssClass=,Congratulations to Deputy Superintendent Anthony Macone on his retirement from the Cambridge Police Department.,
RES 2025 #100,7,2025-04-28 Regular,2025-04-28,Congratulations,Paul F. Toner,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4650&MediaPosition=&ID=29295&CssClass=,Congratulations to Officer Victor Martignetti on his retirement from the Cambridge Police Department.,
RES 2025 #101,8,2025-04-28 Regular,2025-04-28,Congratulations,Paul F. Toner,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4650&MediaPosition=&ID=29296&CssClass=,Congratulations to Bernard Ahearn on his retirement from the Cambridge Health Alliance.,
RES 2025 #102,9,2025-04-28 Regular,2025-04-28,Congratulations,Paul F. Toner,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4650&MediaPosition=&ID=29297&CssClass=,Congratulations to Frances Kleiger on her retirement from the Cambridge Health Alliance.,
RES 2025 #103,1,2025-04-28 Regular,2025-04-28,Congratulations,E. Denise Simmons,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4650&MediaPosition=&ID=29314&CssClass=,Resolution Congratulating CEOC on 60 Years,
RES 2025 #104,1,2025-05-05 Regular,2025-05-05,Death Resolution,Paul F. Toner,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4651&MediaPosition=&ID=29318&CssClass=,"Condolences on the death of Marguerite ""Doris"" Magliozzi.",
RES 2025 #105,2,2025-05-05 Regular,2025-05-05,Death Resolution,Paul F. Toner,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4651&MediaPosition=&ID=29321&CssClass=,Condolences on the death of Philomena (Durso) Donovan.,
RES 2025 #106,3,2025-05-05 Regular,2025-05-05,Death Resolution,Paul F. Toner,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4651&MediaPosition=&ID=29325&CssClass=,"Condolences on the death of Sandra L. ""Cookie"" Saltman.",
RES 2025 #107,4,2025-05-05 Regular,2025-05-05,Death Resolution,Paul F. Toner,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4651&MediaPosition=&ID=29326&CssClass=,Condolences on the death of Alice C. Wadden.,
RES 2025 #108,5,2025-05-05 Regular,2025-05-05,Death Resolution,Paul F. Toner,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4651&MediaPosition=&ID=29328&CssClass=,"Condolences on the death of Antoinette ""Dolly"" Frammartino.",
RES 2025 #109,6,2025-05-05 Regular,2025-05-05,Congratulations,Paul F. Toner,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4651&MediaPosition=&ID=27850&CssClass=,Congratulations to Jose Aponte on his retirement from the Cambridge Housing Authority.,
RES 2025 #110,7,2025-05-05 Regular,2025-05-05,Congratulations,Paul F. Toner,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4651&MediaPosition=&ID=27858&CssClass=,Congratulations to James Carvello on his retirement from the Cambridge Housing Authority.,
RES 2025 #111,8,2025-05-05 Regular,2025-05-05,Death Resolution,Paul F. Toner,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4651&MediaPosition=&ID=29336&CssClass=,Condolences on the death of Carol (Mingace) Basile.,
RES 2025 #112,9,2025-05-05 Regular,2025-05-05,Congratulations,Paul F. Toner,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4651&MediaPosition=&ID=29337&CssClass=,Congratulations to Officer Eric Helberg on his retirement from the Cambridge Police Department.,
RES 2025 #113,10,2025-05-05 Regular,2025-05-05,Congratulations,Paul F. Toner,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4651&MediaPosition=&ID=29338&CssClass=,Congratulations to Sergeant Thomas Maldonado on his retirement from the Cambridge Police Department.,
