Unique Identifier,Agenda Number,Meeting,Meeting Date,Category,Sponsor,Outcome,Vote,E. Denise Simmons,Marc C. McGovern,Burhan Azeem,Patricia Nolan,Sumbul Siddiqui,Paul F. Toner,Ayesha M. Wilson,Jivan Sobrinho-Wheeler,Catherine Zusy,Yeas,Nays,Present,Absent,Recused,Link,Summary,Notes
RES 2025 #132,8,2025-05-19 Regular,2025-05-19,Death Resolution,Paul F. Toner,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4653&MediaPosition=&ID=29496&CssClass=,Condolences on the death of Thomas Bates Jr.,
RES 2025 #133,9,2025-05-19 Regular,2025-05-19,Death Resolution,Paul F. Toner,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4653&MediaPosition=&ID=29497&CssClass=,"Condolences on the death of Charles ""Charlie"" King",
RES 2025 #134,10,2025-05-19 Regular,2025-05-19,Death Resolution,Paul F. Toner,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4653&MediaPosition=&ID=29498&CssClass=,Condolences on the death of Lorraine Waite Cooper,
RES 2025 #136,1,2025-06-02 Regular,2025-06-02,Happy Birthday Resolution,E. Denise Simmons,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4654&MediaPosition=&ID=29623&CssClass=,Happy 80th Birthday wishes to Henrietta Davis.,
RES 2025 #137,2,2025-06-02 Regular,2025-06-02,Congratulations,Paul F. Toner,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4654&MediaPosition=&ID=29438&CssClass=,Congratulations to Anne Marie Picanco on her retirement from the Cambridge Public Schools Department.,
RES 2025 #138,3,2025-06-02 Regular,2025-06-02,Congratulations,Paul F. Toner,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4654&MediaPosition=&ID=29441&CssClass=,Congratulations to Michael Rizzo on his retirement from the Cambridge Health Alliance.,
RES 2025 #139,4,2025-06-02 Regular,2025-06-02,Death Resolution,E. Denise Simmons,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4654&MediaPosition=&ID=29578&CssClass=,"Condolences to the family of Anthony ""Tony"" Durant.",
RES 2025 #140,5,2025-06-02 Regular,2025-06-02,Congratulations,Ayesha M. Wilson,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4654&MediaPosition=&ID=29621&CssClass=,Congratulations to Jacob Werner on his recent marriage to Hayley Min Chu Forbes.,
RES 2025 #141,6,2025-06-02 Regular,2025-06-02,Congratulations,Paul F. Toner,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4654&MediaPosition=&ID=29622&CssClass=,Congratulations to Tareque Ahmed on his retirement from the Cambridge Public School Department.,
RES 2025 #142,7,2025-06-02 Regular,2025-06-02,Death Resolution,E. Denise Simmons,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4654&MediaPosition=&ID=29645&CssClass=,Condolences to the family of Nancy Williams Galluccio.,
RES 2025 #144,1,2025-06-09 Regular,2025-06-09,Congratulations,Paul F. Toner,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4655&MediaPosition=&ID=29821&CssClass=,Congratulations to Janet Forte on her retirement from the Cambridge Public Schools.,
RES 2025 #145,2,2025-06-09 Regular,2025-06-09,Death Resolution,Paul F. Toner,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4655&MediaPosition=&ID=29830&CssClass=,Condolences on the death of Joan Marie (Downing) Lachance.,
RES 2025 #146,3,2025-06-09 Regular,2025-06-09,Resolution,Sumbul Siddiqui,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4655&MediaPosition=&ID=29941&CssClass=,Commending Firefighter Nicole Signoretti’s commitment to the wellbeing of her fellow First Responders and the broader Cambridge community and welcoming Raven to the Fire Department.,
RES 2025 #148,1,2025-06-16 Regular,2025-06-16,Resolution,E. Denise Simmons,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4656&MediaPosition=&ID=30159&CssClass=,"That the City Council go on record thanking SEIU 32BJ for their vigilance, partnership and advocacy on behalf of unionized workers.",
