Unique Identifier,Agenda Number,Meeting,Meeting Date,Category,Sponsor,Outcome,Type of Vote,Sumbul Siddiqui,Burhan Azeem,Patricia Nolan,Jivan Sobrinho-Wheeler,Catherine Zusy,Marc C. McGovern,E. Denise Simmons,Timothy R. Flaherty,Ayah A. Al-Zubi,Yeas,Nays,Present,Absent,Recused,Link,Summary,Notes
RES 2026-13,7,2026-02-09 Regular,2026-02-09,,Timothy R. Flaherty,Adopted,Unanimous,,,,,,,,,,,,,,,https://cambridgema.primegov.com/search/itemsearch?searchItemId=17245,Congratulations to the Cambridge Warriors Basketball Team,
RES 2026-14,8,2026-02-09 Regular,2026-02-09,,E. Denise Simmons,Adopted,Unanimous,,,,,,,,,,,,,,,https://cambridgema.primegov.com/search/itemsearch?searchItemId=17259,Condolences To The Family of David Antoine Dottin,
RES 2026-15,9,2026-02-09 Regular,2026-02-09,,Marc C. McGovern,Adopted,Unanimous,,,,,,,,,,,,,,,https://cambridgema.primegov.com/search/itemsearch?searchItemId=23204,"Resolution in Recognition of Michael J. Johnston, Esq., on his Retirement",
RES 2026-16,10,2026-02-09 Regular,2026-02-09,,E. Denise Simmons,Adopted,Unanimous,,,,,,,,,,,,,,,https://cambridgema.primegov.com/search/itemsearch?searchItemId=29738,Condolences to the Family of Janet Doucette,
RES 2026-18,1,2026-03-02 Regular,2026-03-02,,E. Denise Simmons,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.primegov.com/search/itemsearch?searchItemId=53889,CONGRATULATIONS TO HSBA 2026 FOUNDATION AWARD RECIPIENTS,
RES 2026-19,2,2026-03-02 Regular,2026-03-02,,E. Denise Simmons,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.primegov.com/search/itemsearch?searchItemId=83845,RESOLUTION CONGRATULATING ANGELA PERI,
RES 2026-20,3,2026-03-02 Regular,2026-03-02,,Patricia Nolan,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.primegov.com/search/itemsearch?searchItemId=86952,CONDOLENCES TO THE FAMILY OF CLARA ELDER,
RES 2026-21,4,2026-03-02 Regular,2026-03-02,,Marc C. McGovern,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.primegov.com/search/itemsearch?searchItemId=86959,"RESOLUTION ON THE 89TH BIRTHDAY OF PETER PARISE, JR",
RES 2026-22,5,2026-03-02 Regular,2026-03-02,,Burhan Azeem,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.primegov.com/search/itemsearch?searchItemId=86960,CONDOLENCES TO THE FAMILY OF THE REV. JESSE L. JACKSON,
RES 2026-23,6,2026-03-02 Regular,2026-03-02,,Burhan Azeem,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.primegov.com/search/itemsearch?searchItemId=86967,CONGRATULATION HELENA BRAGA PUIM ON HER 100TH BIRTHDAY,
RES 2026-24,7,2026-03-02 Regular,2026-03-02,,Burhan Azeem,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.primegov.com/search/itemsearch?searchItemId=86971,CONDOLENCES TO THE FAMILY OF CAROLE ANNE LEE (THOMPSON),
RES 2026-25,8,2026-03-02 Regular,2026-03-02,,Burhan Azeem,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.primegov.com/search/itemsearch?searchItemId=86975,CONDOLENCES TO THE FAMILY OF JOHN A. QUINN,
RES 2026-26,9,2026-03-02 Regular,2026-03-02,,Sumbul Siddiqui,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.primegov.com/search/itemsearch?searchItemId=86986,CONGRATULATIONS TO THE 40TH ANNUAL NAACP BRUNCH HONOREES FOR THEIR TREMENDOUS CONTRIBUTIONS TO THE CAMBRIDGE COMMUNITY AND THE CAMBRIDGE BRANCH OF THE NAACP FOR THIS HISTORIC 40TH MILESTONE,
RES 2026-27,10,2026-03-02 Regular,2026-03-02,,Burhan Azeem,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.primegov.com/search/itemsearch?searchItemId=86987,"CONDOLENCES TO THE FAMILY OF JOHN J. ""JACK"" REARDON, JR",
RES 2026-28,11,2026-03-02 Regular,2026-03-02,,Marc C. McGovern,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.primegov.com/search/itemsearch?searchItemId=86991,FREDERICK,
RES 2026-29,12,2026-03-02 Regular,2026-03-02,,Marc C. McGovern,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.primegov.com/search/itemsearch?searchItemId=86992,RESOLUTION ON THE DEATH OF ADAM DAVID SACKS,
RES 2026-34,1,2026-03-09 Regular,2026-03-09,,E. Denise Simmons,Adopted,Voice Vote,,,,,,,,,absent,,,,,,https://cambridgema.primegov.com/search/itemsearch?searchItemId=87059,Condolences To The Family of Alfredo Roderick Brown,
RES 2026-35,2,2026-03-09 Regular,2026-03-09,,E. Denise Simmons,Adopted,Voice Vote,,,,,,,,,absent,,,,,,https://cambridgema.primegov.com/search/itemsearch?searchItemId=87067,Condolences to the Family of Sylvia Kantor,
RES 2026-36,3,2026-03-09 Regular,2026-03-09,,E. Denise Simmons,Adopted,Voice Vote,,,,,,,,,absent,,,,,,https://cambridgema.primegov.com/search/itemsearch?searchItemId=87068,Condolences to the Family of Joseph Sater,
