# Final piles of ballots, sorted by candidate.
# Created Friday, November 14, 2025 5:12 PM


# This file can be used for auditing, or for filling mid-term vacancies
# in Cambridge.  To fill a vacancy, edit the line below that says,
# "# CAMBRIDGE-VACANCY-RECOUNT candidate-code".  Remove the '#', so
# that ChoicePlusr will process the line, and replace "candidate-code"
# with the candidate code for whom the ballots are to be recounted.
# Be sure to rename the file when saving it!  E.g. to "<Your Election
# Title> Recount Input.txt".



# The following lines are the configuration lines necessary for a Cambridge
# style recount.
.COMPLY-WITH CAMBRIDGE
.ELECT 1


# The Candidates:
.CANDIDATE C01, "LaQueen Arleen Battle"
.CANDIDATE C02, "Alborz Bejnood"
.CANDIDATE C03, "Alex Bowers"
.CANDIDATE C04, "Anne Mathilde Coburn"
.CANDIDATE C05, "Luisa de Paula Santos"
.CANDIDATE C06, "Caitlin E. Dube"
.CANDIDATE C07, "Melanie Gause"
.CANDIDATE C08, "Jessica Diaz Goetz"
.CANDIDATE C09, "Richard N. Harding, Jr."
.CANDIDATE C10, "Lilly Havstad"
.CANDIDATE C11, "Jane Hirschi"
.CANDIDATE C12, "Elizabeth Hudson"
.CANDIDATE C13, "Caroline Mary Lisette Hunter"
.CANDIDATE C14, "Arjun Kent Jaikumar"
.CANDIDATE C15, "Jia-Jing Lee"
.CANDIDATE C16, "José Luis Rojas Villarreal"
.CANDIDATE C17, "Eugenia Schraa Huh"
.CANDIDATE C18, "David J. Weinstein"
.CANDIDATE WI01, "Write-in 1"
.CANDIDATE WI02, "Write-in 2"
.CANDIDATE WI03, "Write-in 3"
.CANDIDATE WI04, "Write-in 4"
.CANDIDATE WI05, "Write-in 5"
.CANDIDATE WI06, "Write-in 6"

# The following lines exclude those candidates who
# were elected or excluded in the original election
# from participating in a future runoff.
.EXCLUDE-CANDIDATE C05
.EXCLUDE-CANDIDATE C06
.EXCLUDE-CANDIDATE C09
.EXCLUDE-CANDIDATE C12
.EXCLUDE-CANDIDATE C14
.EXCLUDE-CANDIDATE C18

# ******* The following line must be edited for a Cambridge recount! *******
#.CAMBRIDGE-VACANCY-RECOUNT candidate-code

# Suppose that Joe Smith resigned mid-term, and Karen Jones was elected
# to fill that seat.  But then Karen Jones also resigned!  You can rerun
# the same recount, but specify that Karen Jones is excluded.
#.EXCLUDE-CANDIDATE candidate-code

# This specifies the format for the ballots
.BALLOT-FORMAT-FIELDS BALLOT-ID-ALPHA BALLOT-VALUE RANKINGS-ALPHA

# Ballots for candidate C01 ("LaQueen Arleen Battle")
# (Candidate has no ballots in his/her pile.)

# Ballots for candidate C02 ("Alborz Bejnood")
# (Candidate has no ballots in his/her pile.)

# Ballots for candidate C03 ("Alex Bowers")
# (Candidate has no ballots in his/her pile.)

# Ballots for candidate C04 ("Anne Mathilde Coburn")
# (Candidate has no ballots in his/her pile.)

# Ballots for candidate C05 ("Luisa de Paula Santos")
# Candidate has 3,303 ballots in his/her pile.
.FINAL-PILE C05
000403-00-00130000980274, 1) C05,C08,C10,C14,C06,C01
000403-00-00490006000002, 1) C05,C17,C06,C10,C08,C14,C04,C11,C03
000403-00-09130000014272, 1) C05,C10,C08,C06,C14
000403-00-09130000032342, 1) C05,C10,C08,C14,C06,C17,C18,C04,C16
000403-00-09130000041020, 1) C05,C10,C14,C06,C08
000403-00-09130000060002, 1) C05,C14,C06,C08,C10,C03,C17,C04,C12,C09,C18,C16
000403-00-09130000064663, 1) C05,C01,C06,C16,C14
000403-00-09130000095597, 1) C05,C17,C10,C06,C08,C14,C09
000403-00-09130000103590, 1) C05,C10,C08,C06,C04,C14,C17,C11,C15
000403-00-09130000112992, 1) C05,C06,C08,C10,C11,C14,C16
000403-00-09130000146343, 1) C05,C17,C10,C08,C06,C04,C14,C11,C15
000403-00-09130000148280, 1) C05,C14,C10,C11,C08,C06
000403-00-09130000167916, 1) C05,C10,C08,C06,C14,C17,C11,C15
000403-00-09130000171399, 1) C05,C10,C08,C11,C13,C17
000403-00-09130000200132, 1) C05,C10,C08,C06,C17,C14,C04,C11
000403-00-09130000244494, 1) C05,C08,C10,C14,C06,C17,C04,C01,C11
000403-00-09130000260451, 1) C05,C06,C08,C10,C14
000403-00-09130000304754, 1) C05,C06,C10,C08,C14,C11
000403-00-09130000337340, 1) C05,C14,C06,C08,C11,C10
000403-00-09130000381497, 1) C05,C06,C08,C10,C14,C15
000403-00-09130000404852, 1) C05,C06,C10,C08,C04,C14,C11,C17,C15
000403-00-09130000417759, 1) C05,C06,C08,C10,C14,C16,C18
000403-00-09130000433062, 1) C05,C06,C08
000403-00-09130000501698, 1) C05,C10,C08,C06,C04,C17,C14,C11,C15
000403-00-09130000531981, 1) C05,C06,C08,C10,C14,C15
000403-00-09130000562992, 1) C05,C06,C08,C10,C11,C14,C18
000403-00-09130000565967, 1) C05,C06,C14,C10,C11,C08
000403-00-09130000567356, 1) C05,C06,C08,C10,C14
000403-00-09130000600736, 1) C05,C06,C08,C10,C14,C18,C16
000403-00-09130000655814, 1) C05,C14,C06
000403-00-09130000675889, 1) C05,C10,C06,C08,C14,C18,C16
000403-00-09130000680491, 1) C05,C14,C03,C11,C12,C16
000403-00-09130000715081, 1) C05,C10,C08,C06,C14,C04,C17,C11,C15
000403-00-09130000770196, 1) C05,C06,C08,C10,C14
000403-00-09130000810361, 1) C05,C10,C08,C06,C04,C17,C14,C11,C15
000403-00-09130000820455, 1) C05,C14,C10,C06,C16,C18,C01,C17,C04,C02
000403-00-09130000821938, 1) C05,C06,C10,C14,C08
000403-00-09130000826406, 1) C05,C06,C08,C10,C14
000403-00-09130000827172, 1) C05,C08,C10,C11,C06,C14
000403-00-09130000847553, 1) C05,C04,C06,C08,C10,C17,C11,C14,C15,C03,C02
000403-00-09130000870260, 1) C05,C10,C06,C08,C14,C11,C16
000403-00-09130000930507, 1) C05,C06,C08,C11,C14
000403-00-09130000934264, 1) C05,C16,C15,C17,C18,C01,C06,C14,C11,C09,C07,C04,C02,C03,C13
000403-00-09130000982311, 1) C05,C14,C10,C06,C11,C08
000403-00-09130000998126, 1) C05,C14,C10,C06,C11,C08
000402-00-00120000000385, 1) C05,C10,C08,C06,C14
000402-00-00120000030496, 1) C05,C10,C08,C06,C04,C17,C14,C11,C15
000402-00-00120000038784, 1) C05,C10,C08,C06,C04,C17,C14,C11,C15
000402-00-00120000040086, 1) C05,C10,C08,C06,C04,C17,C14,C11,C15
000402-00-00120000075027, 1) C05,C14,C15,C10,C06,C08
000402-00-00120000101629, 1) C05,C06,C10,C08,C14
000402-00-00120000134593, 1) C05,C06,C08,C10,C14
000402-00-00120000135645, 1) C05,C02
