Body,Type,Other,Date,Time,Status,Id,url,Agenda Summary,Agenda Packet,Final Actions,Minutes
Planning Board,Planning Board,,02/08/22,06:30 PM,completed,4038,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4038,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3577&Inline=True,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2499&Inline=True
Ordinance Committee,Committee,,02/09/22,05:30 PM,completed,4054,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4054,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3574&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3574&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2454&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2454&Inline=True
Board of Zoning Appeal,Hearing – Remote,,02/10/22,06:00 PM,completed,4061,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4061,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3582&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3582&Inline=True,,
City Council,Roundtable/Working,,02/14/22,05:30 PM,completed,4018,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4018,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3585&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3585&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2455&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2455&Inline=True
Planning Board,Planning Board,,02/15/22,06:30 PM,completed,4039,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4039,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3586&Inline=True,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2500&Inline=True
Finance Committee,Committee,,02/16/22,02:30 PM,completed,4056,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4056,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3576&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3576&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2457&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2457&Inline=True
"Government Operations, Rules & Claims Committee",Committee,,02/16/22,06:00 PM,completed,4053,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4053,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3571&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3571&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2458&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2458&Inline=True
Finance Committee,Committee,,02/23/22,05:30 PM,completed,4058,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4058,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3578&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3578&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2652&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2652&Inline=True
Board of Zoning Appeal,Hearing – Remote,,02/24/22,06:00 PM,completed,4060,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4060,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3580&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3580&Inline=True,,
City Council,Regular,,02/28/22,05:30 PM,completed,4019,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4019,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3596&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3596&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2465&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2465&Inline=True
Health & Environment Committee,Committee,,03/01/22,11:00 AM,completed,4062,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4062,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3583&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3583&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2466&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2466&Inline=True
Planning Board,Planning Board,,03/01/22,06:30 PM,completed,4046,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4046,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3597&Inline=True,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2501&Inline=True
"Government Operations, Rules & Claims Committee",Committee,,03/02/22,02:00 PM,completed,4067,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4067,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3588&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3588&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2558&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2558&Inline=True
Finance Committee,Committee,,03/02/22,05:30 PM,completed,4059,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4059,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3579&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3579&Inline=True,,
Community Benefits Advisory Committee,Regular,,03/07/22,04:00 PM,completed,4065,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4065,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3627&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3627&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2489&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2489&Inline=True
City Council,Regular,,03/07/22,05:30 PM,completed,4020,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4020,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3600&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3600&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2473&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2473&Inline=True
Health & Environment Committee,Committee,,03/08/22,03:00 PM,completed,4069,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4069,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3590&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3590&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2478&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2478&Inline=True
Planning Board,Planning Board,,03/08/22,06:30 PM,completed,4047,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4047,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3602&Inline=True,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2502&Inline=True
"Government Operations, Rules & Claims Committee",Committee,,03/09/22,01:00 PM,completed,4078,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4078,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3601&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3601&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2477&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2477&Inline=True
Ordinance Committee,Committee,,03/09/22,05:30 PM,completed,4044,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4044,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3566&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3566&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2479&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2479&Inline=True
Ordinance Committee,Committee,,03/10/22,05:30 PM,cancelled,4063,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4063,,,,
Board of Zoning Appeal,Hearing – Remote,,03/10/22,06:00 PM,completed,4070,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4070,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3591&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3591&Inline=True,,
City Council,Regular,,03/14/22,05:30 PM,cancelled,4021,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4021,,,,
Planning Board,Planning Board,,03/15/22,06:30 PM,completed,4057,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4057,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3603&Inline=True,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2514&Inline=True
Housing Committee,Committee,,03/16/22,02:00 PM,completed,4077,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4077,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3599&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3599&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2509&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2509&Inline=True
"Neighborhood & Long Term Planning, Public Facilities, Arts & Celebration Committee",Committee,,03/17/22,05:30 PM,completed,4064,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4064,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3587&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3587&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2546&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2546&Inline=True
City Council,Regular,,03/21/22,05:30 PM,completed,4022,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4022,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3612&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3612&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2480&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2480&Inline=True
Health & Environment Committee,Committee,,03/23/22,10:00 AM,completed,4085,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4085,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3610&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3610&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2481&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2481&Inline=True
Human Services & Veterans Committee,Committee,,03/23/22,05:00 PM,completed,4076,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4076,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3598&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3598&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2545&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2545&Inline=True
Board of Zoning Appeal,Hearing – Remote,,03/24/22,06:00 PM,completed,4093,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4093,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3614&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3614&Inline=True,,
City Council,Regular,,03/28/22,05:30 PM,completed,4023,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4023,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3619&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3619&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2483&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2483&Inline=True
Health & Environment Committee,Committee,,03/29/22,11:00 AM,completed,4079,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4079,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3604&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3604&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2484&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2484&Inline=True
Planning Board,Planning Board,,03/29/22,06:30 PM,completed,4073,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4073,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3621&Inline=True,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2515&Inline=True
Ordinance Committee,Committee,,03/30/22,05:30 PM,completed,4082,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4082,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3607&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3607&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2485&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2485&Inline=True
Community Benefits Advisory Committee,Regular,,04/04/22,04:00 PM,completed,4066,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4066,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3628&Inline=True,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2528&Inline=True
City Council,Regular,,04/04/22,05:30 PM,completed,4024,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4024,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3625&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3625&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2487&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2487&Inline=True
Transportation & Public Utilities Committee,Committee,,04/05/22,12:00 PM,completed,4080,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4080,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3605&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3605&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2535&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2535&Inline=True
Planning Board,Planning Board,,04/05/22,06:30 PM,completed,4074,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4074,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3629&Inline=True,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2516&Inline=True
